EID_100001, Dupont, Albert, (024) 777 331 711, albert.dupont@heig-vd.ch, MALE, HEG, Professeur
EID_100002, Clément, Jimmy, (024) 777 548 552, jimmy.clement@heig-vd.ch, MALE, TIC, Administratif
EID_100003, De Villiers, Dylan, (024) 777 556 598, dylan.de villiers@heig-vd.ch, MALE, TIC, Administratif
EID_100004, Dupond, Carine, (024) 777 666 676, carine.dupond@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100005, Dupont, Charles, (024) 777 530 493, charles.dupont@heig-vd.ch, MALE, HEG, Administratif
EID_100006, Jones, Emma, (024) 777 585 567, emma.jones@heig-vd.ch, FEMALE, TIN, Assistant
EID_100007, Belmondo, Dylan, (024) 777 521 259, dylan.belmondo@heig-vd.ch, MALE, HEG, Administratif
EID_100008, Clément, Lucien, (024) 777 832 377, lucien.clement@heig-vd.ch, MALE, HEG, Etudiant
EID_100009, Smith, Evelyne, (024) 777 356 660, evelyne.smith@heig-vd.ch, FEMALE, HEG, Administratif
EID_100010, Jones, Aurore, (024) 777 437 870, aurore.jones@heig-vd.ch, FEMALE, EC, Professeur
EID_100011, Smith, Christine, (024) 777 544 153, christine.smith@heig-vd.ch, FEMALE, TIC, Professeur
EID_100012, Delon, Bernadette, (024) 777 581 255, bernadette.delon@heig-vd.ch, FEMALE, COMEM, Etudiant
EID_100013, Bauer, Gontran, (024) 777 810 701, gontran.bauer@heig-vd.ch, MALE, TIN, Etudiant
EID_100014, Dupond, Bernadette, (024) 777 435 280, bernadette.dupond@heig-vd.ch, FEMALE, DEPG, Professeur
EID_100015, Bauer, Georgette, (024) 777 200 473, georgette.bauer@heig-vd.ch, FEMALE, COMEM, Administratif
EID_100016, De Villiers, Edgar, (024) 777 490 327, edgar.de villiers@heig-vd.ch, MALE, EC, Administratif
EID_100017, Marchand, Dorothé, (024) 777 244 122, dorothe.marchand@heig-vd.ch, FEMALE, TIC, Professeur
EID_100018, Marchand, Georgette, (024) 777 699 780, georgette.marchand@heig-vd.ch, FEMALE, HEG, Etudiant
